mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier__C,param_classifier__class_weight,param_classifier__penalty,param_feature_selection__k,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.028954410552978517,0.004311032405139325,0.012769508361816406,0.0016559930842370769,0.1,,l1,10,"{'classifier__C': 0.1, 'classifier__class_weight': None, 'classifier__penalty': 'l1', 'feature_selection__k': 10}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,11,0.5,0.5,0.5,0.5,0.5,0.5,0.0
0.027551555633544923,0.003518666674635899,0.013466835021972656,0.001714757929411257,0.1,,l1,25,"{'classifier__C': 0.1, 'classifier__class_weight': None, 'classifier__penalty': 'l1', 'feature_selection__k': 25}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,11,0.5,0.5,0.5,0.5,0.5,0.5,0.0
0.024138164520263673,0.0003300223490215898,0.011365270614624024,0.00011724868201132917,0.1,,l1,50,"{'classifier__C': 0.1, 'classifier__class_weight': None, 'classifier__penalty': 'l1', 'feature_selection__k': 50}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,11,0.5,0.5,0.5,0.5,0.5,0.5,0.0
0.02541213035583496,0.001460745166981851,0.01257467269897461,0.0013073419330610658,0.1,,l2,10,"{'classifier__C': 0.1, 'classifier__class_weight': None, 'classifier__penalty': 'l2', 'feature_selection__k': 10}",0.55,0.7000000000000001,0.5625,0.4375,0.5625,0.5625,0.08329165624478843,1,0.9080882352941176,0.8933823529411764,0.930795847750865,0.782006920415225,0.8096885813148789,0.8647923875432525,0.05820349876383435
0.025303030014038087,0.0015691733670359037,0.011848783493041993,0.0005847957930468232,0.1,,l2,25,"{'classifier__C': 0.1, 'classifier__class_weight': None, 'classifier__penalty': 'l2', 'feature_selection__k': 25}",0.6000000000000001,0.5,0.5625,0.375,0.625,0.5325,0.08930285549745877,5,0.9485294117647058,0.9301470588235294,0.930795847750865,0.7923875432525952,0.8581314878892734,0.8919982698961938,0.058695158115366734
0.026056957244873048,0.002033309021486484,0.011442184448242188,0.0001632777745372027,0.1,,l2,50,"{'classifier__C': 0.1, 'classifier__class_weight': None, 'classifier__penalty': 'l2', 'feature_selection__k': 50}",0.6,0.5,0.25,0.5,0.625,0.495,0.132664991614216,14,0.9485294117647058,0.9889705882352942,0.9480968858131488,0.8546712802768166,0.930795847750865,0.934212802768166,0.044124092072825506
0.02707247734069824,0.0030594164012766956,0.012206411361694336,0.0010087939308512425,1.0,,l1,10,"{'classifier__C': 1, 'classifier__class_weight': None, 'classifier__penalty': 'l1', 'feature_selection__k': 10}",0.5,0.6499999999999999,0.4375,0.3125,0.4375,0.46749999999999997,0.10971554128745842,16,0.9816176470588235,0.9227941176470589,0.930795847750865,0.8096885813148789,0.8235294117647058,0.8936851211072664,0.06623278807696803
0.025649499893188477,0.001628675426165097,0.01169724464416504,0.0008307728063946347,1.0,,l1,25,"{'classifier__C': 1, 'classifier__class_weight': None, 'classifier__penalty': 'l1', 'feature_selection__k': 25}",0.5,0.45,0.5625,0.3125,0.75,0.515,0.14348344852281744,8,0.9742647058823529,0.9852941176470589,0.9411764705882353,0.8096885813148789,0.9134948096885813,0.9247837370242215,0.06285368549911446
0.02572293281555176,0.0019280577870539207,0.01290130615234375,0.003119285838932523,1.0,,l1,50,"{'classifier__C': 1, 'classifier__class_weight': None, 'classifier__penalty': 'l1', 'feature_selection__k': 50}",0.55,0.4,0.4375,0.3125,0.6875,0.47750000000000004,0.12975939272360978,15,0.9779411764705882,1.0,0.9896193771626297,0.8858131487889274,0.9826989619377162,0.9672145328719723,0.041371192053192694
0.025664520263671876,0.0021147683852105643,0.011887884140014649,0.0011309721244489943,1.0,,l2,10,"{'classifier__C': 1, 'classifier__class_weight': None, 'classifier__penalty': 'l2', 'feature_selection__k': 10}",0.5,0.6000000000000001,0.625,0.375,0.5,0.52,0.08860022573334676,6,0.9595588235294117,0.9227941176470589,0.944636678200692,0.7993079584775087,0.8477508650519031,0.8948096885813148,0.061308108706735656
